Number of Clients,Total turn-around time,Average turn-around time
1,257.0,257.0
Number of Clients,Total turn-around time,Average turn-around time
2,747.0,373.5
Number of Clients,Total turn-around time,Average turn-around time
3,1492.0,497.3333333333333
Number of Clients,Total turn-around time,Average turn-around time
4,2461.0,615.25
Number of Clients,Total turn-around time,Average turn-around time
5,3710.0,742.0
Number of Clients,Total turn-around time,Average turn-around time
10,13417.0,1341.7
Number of Clients,Total turn-around time,Average turn-around time
25,78912.0,3156.48
Number of Clients,Total turn-around time,Average turn-around time
50,309257.0,6185.14
Number of Clients,Total turn-around time,Average turn-around time
100,861735.0,8617.35
